Assembly	final.contigs
# contigs (>= 0 bp)	59850
# contigs (>= 1000 bp)	59850
# contigs (>= 5000 bp)	14313
# contigs (>= 10000 bp)	4576
# contigs (>= 25000 bp)	899
# contigs (>= 50000 bp)	187
Total length (>= 0 bp)	290796910
Total length (>= 1000 bp)	290796910
Total length (>= 5000 bp)	157088886
Total length (>= 10000 bp)	91192609
Total length (>= 25000 bp)	37462469
Total length (>= 50000 bp)	13643947
# contigs	59850
Largest contig	221900
Total length	290796910
Reference length	9317737
N50	5531
N90	2350
auN	12640.8
L50	12090
L90	46406
# misassemblies	29
# misassembled contigs	27
Misassembled contigs length	198740
# local misassemblies	52
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	94
# unaligned contigs	57541 + 1516 part
Unaligned length	286330901
Genome fraction (%)	39.732
Duplication ratio	1.199
# N's per 100 kbp	0.00
# mismatches per 100 kbp	6785.70
# indels per 100 kbp	139.97
Largest alignment	49402
Total aligned length	4428005
NA50	-
NA90	-
auNA	98.9
LA50	-
LA90	-
